SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-29-2022,Condo/Co-op,1221 Victoria St #1103,Honolulu,HI,96814,192500,1.0,1.0,Makiki Area,850.0,,1967.0,,226.0,1130.0,Sold,,,https://www.redfin.com/HI/Honolulu/1221-Victoria-St-96814/unit-1103/home/91474572,HiCentral MLS,202212474.0,N,Y,21.3037884,-157.8472214
PAST SALE,September-13-2022,Condo/Co-op,2947 Kalakaua Ave #602,Honolulu,HI,96815,192000,1.0,1.0,Diamond Head,531.0,12545.0,1969.0,,362.0,648.0,Sold,,,https://www.redfin.com/HI/Honolulu/2947-Kalakaua-Ave-96815/unit-602/home/63778339,HiCentral MLS,202209389.0,N,Y,21.2610021,-157.8203605
PAST SALE,September-27-2022,Single Family Residential,16-2041 Mauna Kea Dr,Pahoa,HI,96778,186000,3.0,1.0,Ainaloa,960.0,12000.0,1979.0,,194.0,,Sold,,,https://www.redfin.com/HI/Pahoa/16-2041-Mauna-Kea-Dr-96778/home/166619799,HI Information Service,664796.0,N,Y,19.5287823,-154.9896154
PAST SALE,October-4-2022,Condo/Co-op,2069 California Ave Unit 19D,Wahiawa,HI,96786,149000,2.0,1.0,Wahiawa Heights,782.0,992340.0,1986.0,,191.0,898.0,Sold,,,https://www.redfin.com/HI/Wahiawa/2069-California-Ave-96786/unit-19D/home/63845856,HiCentral MLS,202212289.0,N,Y,21.5042762,-157.9984031
PAST SALE,August-25-2022,Condo/Co-op,111 Kahului Beach Rd Unit D413,Kahului,HI,96732,150000,1.0,1.0,Kahului,610.0,327136.0,1974.0,,246.0,454.0,Sold,,,https://www.redfin.com/HI/Kahului/111-Kahului-Beach-Rd-96732/unit-D413/home/71706365,RAM MLS,396373.0,N,Y,20.8911039,-156.4749077
PAST SALE,October-26-2022,Vacant Land,33rd Ave (uluhe),Keaau,HI,96749,150000,,,Hawaiian Paradise Park,,41818.0,,,,,Sold,,,https://www.redfin.com/HI/Hawaiian-Paradise-Park/Unknown-96749/home/180606812,HI Information Service,663680.0,N,Y,19.54728719,-154.9782094
PAST SALE,August-25-2022,Single Family Residential,92-971 Reef Pkwy/walaka Dr,Ocean View,HI,96737,150000,0.0,1.0,Hove,840.0,82590.0,1992.0,,179.0,,Sold,,,https://www.redfin.com/HI/Ocean-View/92-971-96704/home/180546754,HI Information Service,663826.0,N,Y,19.09091479,-155.74508407
PAST SALE,September-23-2022,Vacant Land,18-4332 Peck Rd,Mountain View,HI,96771,149000,,,Olaa Reservation Lots,,217931.0,,,,,Sold,,,https://www.redfin.com/HI/Mountain-View/18-N-Peck-Rd-96771/home/79164007,HI Information Service,663195.0,N,Y,19.5650795,-155.1531626
PAST SALE,August-28-2022,Condo/Co-op,1909 Ala Wai Blvd #1005,Honolulu,HI,96815,150000,2.0,1.0,Waikiki,674.0,,1971.0,,223.0,643.0,Sold,,,https://www.redfin.com/HI/Honolulu/1909-Ala-Wai-Blvd-96815/unit-1005/home/63814073,HiCentral MLS,202125442.0,N,Y,21.2875874,-157.8329671
PAST SALE,September-20-2022,Condo/Co-op,2240 Kuhio Ave #2511,Honolulu,HI,96815,150000,1.0,1.0,Waikiki,445.0,46783.0,1976.0,,337.0,730.0,Sold,,,https://www.redfin.com/HI/Honolulu/2240-Kuhio-Ave-96815/unit-2511/home/63820764,HiCentral MLS,202213779.0,N,Y,21.280858,-157.8270786
PAST SALE,October-16-2022,Condo/Co-op,229 Paoakalani Ave #705,Honolulu,HI,96815,150000,1.0,1.0,Waikiki,546.0,,1979.0,,275.0,760.0,Sold,,,https://www.redfin.com/HI/Honolulu/229-Paoakalani-Ave-96815/unit-705/home/88505402,HiCentral MLS,202206863.0,N,Y,21.2743201,-157.8202324
PAST SALE,October-4-2022,Single Family Residential,16-103 Tiki Rd,Kurtistown,HI,96760,144000,3.0,2.0,Tiki Gardens,1152.0,8100.0,1995.0,,125.0,,Sold,,,https://www.redfin.com/HI/Kurtistown/16-103-Tiki-RD-96760/home/180856398,HI Information Service,664357.0,N,Y,19.53568454,-154.99682708
PAST SALE,October-24-2022,Single Family Residential,2654 Ainaola Dr,Hilo,HI,96720,177000,2.0,1.0,Ainaola Heights Subdivision,968.0,7500.0,1947.0,,183.0,,Sold,,,https://www.redfin.com/HI/Hilo/2654-Ainaola-Dr-96720/home/148219878,HI Information Service,662474.0,N,Y,19.6388321,-155.1279814
PAST SALE,September-9-2022,Single Family Residential,13-3445 Pomaikai St,Pahoa,HI,96778,178000,3.0,2.0,Leilani Estates,1952.0,43560.0,1992.0,,91.0,,Sold,,,https://www.redfin.com/HI/Pahoa/13-3445-Pomaikai-St-96778/home/148238754,HI Information Service,662435.0,N,Y,19.472009,-154.918262
PAST SALE,September-13-2022,Condo/Co-op,2947 Kalakaua Ave #601,Honolulu,HI,96815,178000,1.0,1.0,Diamond Head,854.0,12545.0,1969.0,,208.0,1399.0,Sold,,,https://www.redfin.com/HI/Honolulu/2947-Kalakaua-Ave-96815/unit-601/home/88515901,HiCentral MLS,202128894.0,N,Y,21.2610021,-157.8203605
